"集数","作品ID","链接","发布时间","时长秒","点赞","评论","收藏","分享","收藏点赞比","分享点赞比","表现分层","标题描述","章节摘要","章节结构","数据来源","限制说明"
"13","7642220065483492643","https://www.douyin.com/video/7642220065483492643","2026-05-21 13:57:05","276.1","217","2","97","27","44.7","12.44","D_3000以下","为什么说只要开始“输出”，你的人生效率就能暴涨十倍？ #认知思维 #认知 #输出 #博主","认知型口播博主是普通人的破局点，因为认知创作能让人飞速迭代，输出倒逼输入，提高思维能力。自媒体账号是个人的全息数字名片，能展示真实的自我，吸引高粘性粉丝。通过分享知识和经验，普通人可以积累社会资本，开启人生的十倍速模式。","引言：｜认知创作让人飞速迭代：认知创作能让人飞速迭代，好的工作应自带杠杆，做认知输出是为人生打造思维复利引擎。｜输出倒逼输入：输出倒逼输入，把深度思考与流量、个人IP挂钩，激发求知欲。｜拥有全息数字名片：自媒体账号是大脑操作系统的全息投影，具有降维说服力。｜认知赛道的粉丝粘性：认知赛道粉丝粘性高，建立在价值观认同上的信任资产是坚实底盘。｜结语：普通人应开辟输出阵地，记录成长，分享顿悟，用创作者的生命轨迹验证生存法则。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"14","7642250423872638223","https://www.douyin.com/video/7642250423872638223","2026-05-21 15:54:52","335.1","214","2","105","23","49.07","10.75","D_3000以下","如何找到你真正想做的事情？找到你热爱的事情，不亚于找到你自己 #抖音精选 #看优质好内容就来抖音精选 #天赋 #认知思维","如何找到真正想做的事情？通过人生北极星模型，即喜欢的事情、擅长的事情和重要的事情的交集。首先，明确真正的喜欢是求知饥渴，而非表面的娱乐；其次，发现自己的出场设置，即天生的能力；最后，确定重要的事情，即终极价值观。通过这些步骤，找到那个唯一共通的交集，就是你真正想做的事情。","引言：｜人生北极星模型：人生北极星模型，核心是喜欢的事情、擅长的事情和重要的事情的交集。｜喜欢的事情：真正的喜欢是求知饥渴，是内心的驱动力。｜擅长的事情：擅长的事情是天生的出场设置，是不依赖后天学习的直觉和能力。｜重要的事情：重要的事情是终极价值观，是你想过的生活。｜实践步骤：通过价值观、出场设置和求知饥渴三个方面，找到真正想做的事情。｜结语：","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"15","7642692521780464936","https://www.douyin.com/video/7642692521780464936","2026-05-22 20:30:36","232.7","1962","37","737","1921","37.56","97.91","D_3000以下","为什么外部的“善意提醒”，是婚姻最大的杀手？ #独立思考 #婚姻 #关键对话 #心理学 #认知思维","外部的“善意提醒”可能成为婚姻的杀手，因为它们往往带来不确定性，导致夫妻在消化这些信息时浪费时间。为了避免这种情况，夫妻应建立沟通边界，只在两人之间讨论重要决策，避免卷入过多非利益相关方的意见。这样做有助于保持感情稳定，共同承担风险。","引言：｜案例分享：同事夫妻因外部意见导致错过商铺投资机会，损失两周时间。｜信息与情绪的区分：要区分信息和情绪，信息值得核实，情绪则毫无价值。｜非利益相关方的影响：家庭重大决策被推迟或搁置的首要原因是卷入过多非利益相关方。｜建立沟通的边界：建立沟通边界，只在两人之间讨论重要决策，避免外部声音干扰。｜结语：守住关系是现实的，只有双方共同承担风险，感情才会更好。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"16","7643072492197727503","https://www.douyin.com/video/7643072492197727503","2026-05-23 21:05:06","307.1","173","3","67","40","38.73","23.12","D_3000以下","到底攒多少钱可以不上班 ","攒多少钱可以不上班？这是一个因人而异的问题。通过计算每年的生活成本，除以稳健的投资收益率，可以得出所需的本金。然而，人们往往会因为目标膨胀而不断提高标准。要避免这种情况，需要固定支出锚点，明确真实的生活成本。这样，才能更接近财务自由的目标。","引言：｜目标膨胀：目标膨胀是一种心理机制，每次接近终点线，终点线就会自动往前移。｜算出所需本金：不上班需要持续覆盖支出的现金流，通过每年支出除以稳健投资收益率可算出所需本金。｜固定支出锚点：固定支出锚点，避免目标永远是移动靶。｜案例分享：锁定支出锚点后，内心安全感提升，有了离开的底气。｜避免走偏：避免走偏的三个坑：降低欲望、停止积累收益能力、混淆有选择权和彻底躺平。｜结语：认真算出真实年度支出，除以0.05，可确定不上班所需的本金。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"17","7643434162665442575","https://www.douyin.com/video/7643434162665442575","2026-05-24 20:28:31","292.2","141","2","55","23","39.01","16.31","D_3000以下","为什么最赚钱的生意，表面看起来都不赚钱？ #赚钱 #认知思维","宜家、苹果和吉列这三家成功的企业都采用了类似的商业模式，即通过提供低价或免费的产品吸引顾客，然后在后续的服务或产品上实现盈利。他们的核心逻辑在于延长顾客停留时间、提高迁移成本和培养消费习惯，从而实现长期稳定的利润。","引言：宜家甜筒不赚钱，但能让人多待20分钟，从而增加消费。｜宜家：宜家餐厅定价低，建立信任，降低决策门槛，让顾客多停留，增加消费。｜苹果：苹果手机毛利率高，但服务业务更赚钱，通过设备互联加深用户离开成本。｜吉列：吉列通过低价刀架和高价刀片，培养用户习惯，实现持续盈利。｜结语：宜家、苹果、吉列都将赚钱节点放在时间、迁移成本和习惯里，而非产品本身。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"18","7643833205165968680","https://www.douyin.com/video/7643833205165968680","2026-05-25 22:17:00","308.5","15044","290","4392","1636","29.19","10.87","B_1万-5万","为什么范家能富过九百年？ ","范仲淹设立的义庄资产历经九百年，躲过多次战乱，其财富系统包括资产隔离、救急不救穷、严密制衡和选择底线守门人。范家的智慧在于坚守规矩，避免贪婪和冒险，确保财富的长期稳定。","引言：范仲淹设立义庄，资产历经九百年，躲过多次战乱，其财富系统剖析了财富焦虑。｜资产隔离：设立资产隔离墙，确保本金安全，避免系统性崩盘。｜救急不救穷：救急不救穷，避免制造斯金纳箱里的老鼠，防止家族血崩。｜严密的制衡锁：设计严密制衡锁，防止监守自盗，确保资金安全。｜底线守门人：选择底线守门人，而非聪明人，确保财富传承。｜结语：范家财富源于敬畏常识、恪守底线，金钱奖励敬畏常识、恪守底线的人。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"19","7644195046853578036","https://www.douyin.com/video/7644195046853578036","2026-05-26 21:41:02","237.4","570","13","197","54","34.56","9.47","D_3000以下","为什么再完美的制度，也防不住钻空子？ #北宋 #历史故事 #如果说","北宋的监管制度虽然完美，但由于官员不足无法执行，实际靠摊贩自觉。这种“良币压舱”效应在现代社会仍然重要。然而，随着底层结构变化，老实人变少，系统开始出问题。一个健康的生态应该是天然的筛子，让老实人得到回报，而投机取巧者受到惩罚。在选择公司、行业或合伙人时，观察老实人的现状是一个重要的判断标准。","北宋的监管制度：北宋监管制度完美，但因官员不足无法执行，实际靠摊贩自觉。｜良币压舱效应：系统正常运转靠老实人，即""良币压舱""效应。｜底层结构的变化：底层结构变化，老实人变少，导致系统出问题。｜柠檬市场理论：柠檬市场理论解释了系统崩溃的原因。｜系统的稳定性：系统稳定性取决于老实人数量，健康生态应是天然筛子。｜判断标准：选择公司、行业或合伙人时，观察老实人现状。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"20","7644578524879129899","https://www.douyin.com/video/7644578524879129899","2026-05-27 22:29:14","358","1022","21","391","150","38.26","14.68","D_3000以下","两千年前老话，点透职场生存法则 ","两千年前的桑弘羊提出“富在术数，不在劳身”，揭示了职场生存法则。他认为，赚钱与努力程度无关，而在于掌握资源和信息差。现代职场中，应避免成为只会执行的劳身者，而是要成为能调动资源的术数者。同时，采用杠铃策略，将体制内工作作为安全底仓，利用业余时间拓展高风险高收益的进攻端，才能在这个时代获得成功。","引言：｜劳身与术数：桑弘羊认为人分为劳神和术数两种，劳神者靠出卖体力和时间换钱，术数者靠脑子调动资源赚钱。｜红皇后假说：红皇后假说指出，只靠出卖时间竞争会陷入红皇后陷阱，资源和信息差更具价值。｜从劳身到术数：普通人应关注刚需行业，如盐铁行业，或成为公司的核心环节，提高议价权。｜杠铃策略：采用杠铃策略，将体制内工作作为安全底仓，利用业余时间拓展高风险高收益的进攻端。｜结语：世界奖励有策略的人，要积累术数和盐铁，看清牌桌再下注。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"21","7644889050234506538","https://www.douyin.com/video/7644889050234506538","2026-05-28 18:34:06","334.4","483","7","199","78","41.2","16.15","D_3000以下","为什么我劝你先拿两百块去试水？ #赚钱思维 #认知思维","通过200元的小成本尝试，可以验证生意的可行性。建军通过在小区群卖饭，得到了真实的市场反馈，从而决定下一步行动。白圭的原则强调乐观时变，不压市场，只盯着市场正在怎么走。在决定投资前，先进行小成本验证，了解市场需求、客群喜好和菜单配比，避免盲目投资。","引言：｜建军的经历：建军用200元食材在小区群卖饭，收到陌生人的订单，验证了市场需求。｜白圭的原则：白圭的原则是乐观时变，不压市场，只盯着市场正在怎么走。｜验证的重要性：验证的重要性在于避免盲目投资，真正有用的验证是陌生人愿意付钱。｜验证的方法：通过小成本验证，了解市场需求、客群喜好和菜单配比。｜结语：","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"22","7645207502186908947","https://www.douyin.com/video/7645207502186908947","2026-05-29 15:09:49","272.9","1561","33","526","230","33.7","14.73","D_3000以下","为什么说第一个10万块，是你拉开阶层差距的分水岭？ #财富 #认知思维 #存钱 #复利思维 #如果说","存折里的第一个10万块是拉开阶层差距的分水岭。很多人在攒够这笔钱后会陷入狄德罗效应，用它来满足虚荣，而真正聪明的人会将其视为投资的起点，让钱生钱。守住这第一个10万，学会克制欲望，让钱为你工作，才能逐渐实现财富自由。","引言：｜狄德罗效应：狄德罗效应指出，人们会为了匹配新的物品而不断消费，导致财富流失。｜案例分析：大伟用10万消费，老陈用10万投资，最终老陈在经济危机中更有底气。｜结语：","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"23","7645652035567750436","https://www.douyin.com/video/7645652035567750436","2026-05-30 19:54:58","262.8","24834","2811","7598","3094","30.6","12.46","B_1万-5万","你的长相，本就是为人生任务量身定做的 #相由心生 #认知提升 #停止内耗 #容貌焦虑","长相与人生任务之间存在着科学规律，一个人的面部特征可以反映出他的性格和命运。然而，许多人试图通过整容改变面相，却陷入了自我消耗的陷阱。真正的好面相并非完美比例或单一审美，而是岁月和经历塑造的生存武器。接纳自己的脸，发挥其优势，才能更好地完成人生任务。","引言：｜脸与人生任务的适配：脸与人生任务是极致适配的，比如颧骨微凸、下颌线凌厉的人更适合做高管。｜自我消耗陷阱：改变面相会导致心理状态和别人对待你的方式发生改变，从而陷入自我消耗陷阱。｜利用出场设置识别人心：通过观察一个人的脸是否有割裂感，可以快速识别人心，避免人际交往中的暗坑。｜好面相的真正含义：好面相是岁月和经历打造的生存武器，接纳自己的脸，用好人生剧本，就是最高级的清醒。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"24","7645942254057688326","https://www.douyin.com/video/7645942254057688326","2026-05-31 14:41:02","247.2","10697","181","3606","1701","33.71","15.9","B_1万-5万","南方家族持续赚钱，北方家族容易散财，差距到底在哪 #商业认知","南方家族在财富延续方面表现出色，而北方家族容易散财，原因在于两者对财富的理解、关系网的搭建和传承方式不同。南方家族更注重现金流、利益结构和培养商业能力，而北方家族往往更注重资产、人情关系和体制内工作。时代变化后，抗风险能力和真实的生存能力成为关键。","引言：｜对财富的理解：北方老板注重资产，南方老板注重现金流，现金流比资产更重要。｜关系网的本质差异：北方关系网靠情义，南方关系网靠利益结构，利益共同体更具韧性。｜传承的差异：北方家族注重体制内工作，南方家族注重培养商业能力，传承认知和能力比钱更重要。｜结语：","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"25","7646373169162472767","https://www.douyin.com/video/7646373169162472767","2026-06-01 18:33:13","381.1","734","23","292","159","39.78","21.66","D_3000以下","利弗莫尔：永远不要让盈利变成你卖出的理由 #卖飞 #处置效应 #如果说","利弗莫尔认为，永远不要让盈利变成卖出的理由。他指出，人们往往在盈利时更容易卖出股票，而在亏损时却更愿意持有。这种现象被称为“处置效应”，是由大脑的本能反应和情绪驱动的。为了避免卖飞，投资者应该关注买入时的判断是否仍然成立，而不是仅仅因为盈利而卖出。通过等待一晚再做决定，可以让理性有机会重新上线，从而做出更明智的决策。","引言：朋友因卖出盈利股票而后悔，这种感觉很多人都有。｜处置效应：理查德·塞勒研究发现，人卖出盈利股票的速度是卖出亏损股票速度的两倍，这被称为""处置效应""。｜大脑的两套系统：丹尼尔·卡尼曼解释了大脑的两套系统，系统一靠直觉，系统二靠理性，卖飞是因为系统一战胜了系统二。｜如何判断卖出时机：利弗莫尔和赛思克拉曼认为，卖出的唯一理由是当初买入的判断是否成立，与盈利多少无关。｜实用的卖出方法：通过问自己是否会重新买入，以及等待一晚再做决定，可以过滤掉冲动操作。｜结语：卖飞是大脑的出场设置导致的，知道这一点后，下次可以多停一秒，问问自己是想卖还是恐惧想卖。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"26","7647138694075321610","https://www.douyin.com/video/7647138694075321610","2026-06-03 20:03:55","358.6","146714","1015","66950","20107","45.63","13.7","S_10万+","纳瓦尔·拉维坎特：不要去管别人，只管早睡、运动和读书！ #早睡 #运动 #阅读 #如果说","纳瓦尔·拉维坎特认为，我们应该关注自己，通过早睡、运动和读书来提升自己。早睡可以清理大脑垃圾，改善情绪和判断力；运动可以释放内啡肽，提高自我效能感；读书可以让人有自己的想法和判断。这三件事虽然简单，但持续做下去会产生行为复利，让人变得更稳，不再需要靠别人来确认自己。","引言：｜注意力漏损：人的心理能量有限，注意力长期往外流会导致自己变得空虚，纳瓦尔认为早睡、运动、读书可以解决这个问题。｜早睡：早睡可以清理大脑垃圾，改善情绪和判断力，避免深夜刷手机导致的精神内耗。｜运动：运动可以释放内啡肽，改善情绪稳定，提高自我效能感，让人在生活中更有掌控感。｜读书：读书可以让人有自己的想法和判断，避免被别人的想法和评论影响情绪。｜结语：早睡、运动、读书持续做会产生行为复利，让人变得更稳，不再需要靠别人来确认自己。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"27","7647472332063264054","https://www.douyin.com/video/7647472332063264054","2026-06-04 17:38:32","321.6","1247","8","433","136","34.72","10.91","D_3000以下","为什么聪明的老板，都在“战略性缩水”？ #经商之道 #商业思维 #财富认知","聪明的老板会选择“战略性缩水”，以避免规模扩张带来的陷阱。他们专注于核心业务，提高利润率，降低试错成本和调头速度。避免虚荣补偿、攀附人脉、依赖政策补贴和自建厂房，而是依靠自身实力和灵活性在市场中生存。这种清醒的自救能力比追求规模更重要。","引言：｜规模扩张的陷阱：规模扩张会导致认知负荷溢出，判断力和决策质量下降，老板从猎人变成救火队长。｜虚荣补偿：虚荣补偿会导致企业陷入现金流危机，客户更在意产品和服务质量，而非门面。｜攀附人脉：攀附人脉无法获得真正的资源，企业应打磨产品和服务，沉淀真实口碑。｜依赖政策补贴：依赖政策补贴会导致企业失去自主生存能力，应像狼一样靠捕猎生存。｜自建厂房：自建厂房会导致资金链断裂，应尽量租赁厂房，保持灵活性。｜聚焦核心业务：聚焦核心业务，做出壁垒，提高利润率，降低试错成本和调头速度。｜结语：战略性缩水是一种自救能力，保持灵活性和现金充足，比做大老板更重要。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
"28","7647897900562861366","https://www.douyin.com/video/7647897900562861366","2026-06-05 21:10:00","252.6","982","10","542","102","55.19","10.39","D_3000以下","人一旦有了体系，做什么都会成功！ #体系 #认知升级 #体系","人一旦有了体系，做什么都会成功。体系的核心作用是做减法，避免知识碎片过多导致判断力下降。建立体系需要停下来，筛选真正有用的知识，回答三个问题，逼自己做取舍。有体系的人积累是叠加的，没有体系的人积累是平的，每次都是原地起跑。","引言：｜体系的核心作用：体系的核心作用是做减法，避免知识碎片过多导致判断力下降。｜体系的运作方式：体系的运作方式是不断拿新信息来碰撞修正升级，而不是存储信息。｜仓库型学习：仓库型学习是在帮别人整理仓库，没有真正学到东西，只是原地踏步。｜体系的样子：体系像一张网，知识之间的碰撞决定能否用出来，有体系的人积累是叠加的。｜如何建立体系：建立体系需要停下来，筛选真正有用的知识，回答三个问题，逼自己做取舍。","抖音公开合集接口","章节摘要为平台自动生成，非完整逐字稿"
