序号,视频标识,源文案路径,标题主题,选题痛点,钩子类别,开头功能,前30秒承接,核心主张,论证链,情绪路线,语言节奏,反转与排比,结尾功能,行动CTA,可迁移能力,证据定位,素材记录ID,素材类型摘要,表层素材调用提示
11,11_如何通过面相快速识人,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/11_如何通过面相快速识人.md,识人焦虑和对他人的不信任,想快速判断他人是否可靠,风险提问+神秘知识,先问是否被朋友坑再提出看相识人的诱惑,三部分目录→先声明存疑再进入经验法,识人可观察行为和第一印象但不该被外貌宿命论绑架,被坑痛点→传统术语→细节讲解与故事→科学存疑→心性改变外在,焦虑→好奇→兴奋→放松,密集细节清单、古人名、口语玩笑和自我调侃,相信/存疑双重立场；形相/心性反转,把面相落到做事周正和发心,观察一次互动中的可靠行为而非给人贴外貌标签,先用争议话题制造注意再主动加边界以保留可信度,P1-P80：被坑提问→三部分与存疑→观察细节→心性改写→第一印象收束,xiaowulang.material.11_如何通过面相快速识人,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
12,12_学会独处！_#独立思,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/12_学会独处！_#独立思.md,孤独感与关系依赖,独处时空虚且把快乐外包给他人,引用式断言+双问题,先给关系过密会恶化的句子再问独处和人际烦恼,五板块目录→个人转变背书,独处能力是人生的情绪保底和关系平等基础,独处痛苦→接受孤独→处理空闲与求爱→珍视自己→关系去依赖,孤独→被理解→安全感→自由与松弛,长解释中反复用对吧和只要句式强化,一个人快乐/向他人求快乐的对照；伙伴/黏连关系反转,把独处定义为人生保底计划,安排一次无社交的独处时段并观察快乐来源,先处理情绪依赖再提升关系姿态的递进结构,P1-P64：引语钩子→两问→五板块→情绪保底→平等结尾,xiaowulang.material.12_学会独处-_-独立思,cases_people、examples_scenes、metaphors_analogies、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
13,13_提升自控力的4个方法,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/13_提升自控力的4个方法.md,知道很多却做不到,才华无法转化为行动,概念区分+身份升级承诺,从高智商和高认知不同切入,三部分目录→心理学研究引入,自控力更靠环境设计而不是意志硬扛,聪明/认知区分→意志资源解释→四方法→睡前读书环境例子,羞耻→理解→轻松→行动感,短问答、三段目录、一个长生活场景收束,控制自己/不需要控制自己反转；手机/书本环境二选一,用环境改变而非意志责备收尾,移走一个诱惑并只留下目标行为的入口,用概念澄清搭配一段具体环境布置场景,P1-P36：概念区分→研究→方法→环境场景→反转结尾,xiaowulang.material.13_提升自控力的4个方法,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
14,14_敢诛己心者，皆是改命,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/14_敢诛己心者，皆是改命.md,被原生条件和旧自我限制,认为命运已由过去决定,古语冲突+命运反转,先抛七岁看老再给改命人古语,心理学名言→五点目录→命的解释,改命不是等待外力而是增加个人变量并替换旧自我,宿命感→潜意识解释→五个变量→反事实人生推演→可预测性被打破,压抑→被挑战→升级欲→力量感,古语、名人、五点编号、反事实思想实验交错,你是你所以做不到/变得不是旧你才能做到；固定/变量对照,回扣改命古语并承诺持续迭代,选择一项能增加人生变量的长期练习,把传统句子翻译为变量与自我迭代的现代语言,P1-P52：古语冲突→潜意识→五点→反事实→变量收束,xiaowulang.material.14_敢诛己心者-皆是改命,cases_people、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
15,15_用经济学概念做高效决,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/15_用经济学概念做高效决.md,关键决策纠结且效率低,无法计算人生选择的代价,收益二选一+高效承诺,先让观众在高收入和半条命间选择,12概念目录→机会成本起讲,经济学提供冷静的选择框架并能迁移到人生,收益选择→概念解释→工作关系消费场景→市场检验的总结,纠结→理性兴奋→掌控感,概念名中英文、快速举例、连续设问和结论句,高收入/轻负担对照；人情问题被转译为契约与成本,用市场残酷但有效收束,下一次选择先写下放弃的最佳替代项,把抽象学科按概念-生活场景-决策动作转译,P1-P75：选择题→12概念→人生场景→市场检验收束,xiaowulang.material.15_用经济学概念做高效决,cases_people、concepts_theories、examples_scenes、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
16,16_解决问题的能力可以提,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/16_解决问题的能力可以提.md,认知抽象且不知如何提升,担心自己善良努力却总把事做坏,价值冲突问题+概念重定义,从善良是否最重要和低认知难真善良切入,把认知定义为解决问题能力并列五项,认知是可拆解的解决问题能力和自我标准,善良难题→认知定义→五能力模块→方法与生理支撑→自我标准,困惑→被重新定义→可训练感→责任感,问答起势、模块清单、类比和最后的双层方法,善意/好结果反转；驴车/汽车的升级类比,以不允许自己把事做差作为标准收尾,选一个问题复盘自己缺的是学习、推演还是标准,用一个道德命题把抽象认知变为能力清单,P1-P30：价值问题→认知定义→五能力→标准与训练结尾,xiaowulang.material.16_解决问题的能力可以提,cases_people、concepts_theories、examples_scenes、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
17,17_谨慎地拥有，珍惜地使,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/17_谨慎地拥有，珍惜地使.md,关系事业中的执念与沉没成本,把想要和舍不得当成正确选择,三段格言+清醒承诺,先给谨慎拥有珍惜使用勇敢放弃三句,礼物也可能是陷阱→三词逐项解释,真正清醒是拥有前看代价、拥有后认真用、消耗时敢离开,三句格言→情感与事业反例→沉没成本算账→离开动作,向往→警醒→心痛→决断,极短格言开场、三段解释、80年/80块的具象换算,礼物/陷阱反转；拥有/放弃并列；时间/金钱同构,把离开定义为理智而非薄情,为当前执念写下继续投入的真实代价,三元格言作为整篇可记忆骨架并用一个换算场景落地,P1-P19：三句格言→关系事业代价→沉没成本→离开收束,xiaowulang.material.17_谨慎地拥有-珍惜地使,cases_people、examples_scenes、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
18,18_通过微表情看出一个人,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/18_通过微表情看出一个人.md,想识别他人真实情绪和谎言,社交中担心被欺骗或看不懂人,能力许诺+神秘知识,先许诺不用对方说话也能知道真实想法,学者与影视背书→六种信号目录,观察非语言线索可帮助理解情绪但要结合语境,能力幻想→理论权威→六信号→互动辨识例子→轻松问答结尾,好奇→兴奋→获得侦测感→轻松,短案例、模拟对话、多个信号连续罗列,说的话/声音表情的反差；表面同意/语气泄露反转,用娱乐式问题淡出,下次对话只观察一个非语言信号并结合上下文,先给超能力感再用六点列表持续兑现,P1-P30：能力钩子→权威→六信号→对话例子→轻结尾,xiaowulang.material.18_通过微表情看出一个人,cases_people、concepts_theories、examples_scenes、other_surface_material、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
19,19_风水就是环境心理学！,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/19_风水就是环境心理学！.md,状态低迷却把改变寄托在运气,想用外部环境改善内在状态,传统概念翻译+收益承诺,把风水直白改叫环境心理学,荣格与习惯概念→九点目录,环境持续影响潜意识、状态和行为；人也是重要环境,迷信好奇→理性解释→尝试欲→关系筛选意识,传统词与科学词对译、九点清单、环境场景密集,风水/环境心理学翻译；命运/无意识反转；空间/人同属环境,最后把人定义为最大风水,替换一个每天接触的环境线索并观察状态,调整一个每天接触的环境线索并连续观察一周,用熟悉传统词制造点击再给现代行为解释和清单,P1-P61：概念翻译→九点目录→环境干预→人是环境→关系收束,xiaowulang.material.19_风水就是环境心理学,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、quotes_phrases、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
20,20_高认知的4个体现,C:/Users/NJ/Desktop/Codex/Douyin/02_账号项目/小五狼/02_转写文本/01_最终完整文案/20_高认知的4个体现_#.md,聪明但决策与处事不成熟,不知高认知到底如何落到行为,概念对比+四维承诺,先区分聪明与高认知并要求观众自选,四个维度→低高认知对照→概率案例,高认知体现为能监控思维、看深层规律并用概率做决策,聪明/高认知区分→四维度→网络和客户场景→反求诸己,困惑→被定义→升级欲→踏实自省,短问答、四点列表、低高对照和概率数字例子,自动反应/监控思维；确定性/概率思维反转,鼓励自查四项而非给标签,拿一个最近失败复盘为概率还是人格问题,用可观察的思维动作把高认知从赞美词变成训练项,P1-P38：概念对比→四维定义→场景示例→自查收束,xiaowulang.material.20_高认知的4个体现_,cases_people、concepts_theories、examples_scenes、metaphors_analogies、methods_actions、other_surface_material、personal_stories、specific_facts_numbers,允许检索调用原句、例子、案例、比喻、个人故事、具体事实、数字、口头表达和原始顺序；保留素材ID与来源，事实性内容发布前核验。
