编号,入库日期,来源账号,来源视频链接,来源视频标题,原始选题,目标人群,用户痛点,核心矛盾,核心观点,内容方向,可迁移角度,我的改写选题,适合账号线,优先级,状态,备注
IFST-010,2026-07-12,如果说,https://www.douyin.com/video/7659780318336929065,活在情绪价值和规律的三层境界,决策分层,在成长与选择中容易受情绪影响的人,外界评价和短期得失左右行动,感受价值与规律的层级差异,成熟不是没有情绪而是不让情绪替代决策系统,决策认知,同一场景三层改写,普通人成长的三个阶段从听懂道理到开始行动再到建立自己的长期系统,认知成长与长期主义,高,待创作,适合做账号世界观内容
OMET-001,2026-07-14,oMel,本地SRT（作品链接未提供）,自控力可能是这个时代最被高估的能力,环境比意志力重要,想改变习惯却总靠硬扛的人,反复失败后把问题归因于自己不够自律,人格自责与行为环境的冲突,改变行为首先要调整环境摩擦而不是神化意志力,行动力,用真实的失败动作拆解环境如何让人更难开始,你不是自控力差而是一直把最容易分心的东西放在触手可及的位置,认知成长与自我改变,高,待创作,对应OMET-TA-01；个人经历和机制需真实
OMET-002,2026-07-14,oMel,本地SRT（作品链接未提供）,被偷走的专注力,注意力的第一步失败,想读书健身创作却总被手机打断的人,道理都懂却在放下手机这一步失败,理想生活与最低门槛之间的冲突,先找出每个目标最早被打断的步骤再重建环境,自我改变,用目标人群自己的理想动作和共同障碍开题,你不是坚持不了而是每次都把最重要的一步交给了最容易分心的环境,认知成长与行动力,高,待创作,对应OMET-TA-02；注意力主张需核验
OMET-003,2026-07-14,oMel,本地SRT（作品链接未提供）,The Diary of a CEO,努力却没有成功迹象,想变好却始终看不到进展的人,努力却没有反馈的成长焦虑,努力方式与成功链条的顺序可能错位；努力不足与系统失序的冲突,先建立认知与能力的积累顺序再谈结果,个人成长,把无反馈阶段转译为系统检查而不是鸡汤安慰,你不是没有变好只是一直用结果来审判还在积累的自己,认知成长与长期主义,中,待创作,对应OMET-TA-03；不承诺结果
OMET-004,2026-07-14,oMel,本地SRT（作品链接未提供）,金钱心理学,收入与财富不是一回事,收入上涨仍没有安全感的年轻人,钱刚到手就花完并把收入当财富,看起来富有与真正有选择权的冲突,财富观要先从看得见的月度现金流开始建立,赚钱意识,用收入支出余量的日常账本重构消费选择,为什么你越想证明自己过得好反而越难留下真正让你安心的钱,赚钱认知与长期主义,高,待创作,对应OMET-TA-04；不构成理财建议
OMET-005,2026-07-14,oMel,本地SRT（作品链接未提供）,The Pathless Path,默认人生路径与主动选择,处在职业或人生路口却只会跟随默认答案的人,不知道自己想要什么便把既定路径当唯一答案,安全感与自主选择的冲突,迷茫不必立刻找唯一答案而要先看见哪些选择是被默认脚本替你做的,人生选择,把抽象迷茫落到一个可识别的默认脚本和一项小选择,你以为自己没有路其实是从来没问过这条路是谁替你选的,普通人成长与人生选择,高,待创作,对应OMET-TA-05；书籍观点需核验
XWLT-001,2026-07-14,小五狼,本地SRT（作品链接未提供）,如何消除内耗根源,内耗的类型化诊断,反复内耗却只会逼自己想开的人,没有分清内耗来自评价关系还是行动系统,模糊痛苦与可处理机制的冲突,先识别内耗的具体类型再匹配动作而不是一味追求不想,认知成长,把一种模糊困扰拆成有限几类可观察来源,你的内耗不是一个问题而是三种完全不同的失控你一直用同一种方法解决,认知成长与自我改变,高,待创作,对应XWT-01；分类和心理机制需重建与核验
XWLT-002,2026-07-14,小五狼,本地SRT（作品链接未提供）,为什么高智商的人往往不顺,聪明人的行动困境,分析能力强却总在机会前犹豫的人,把谨慎当理性结果错过行动与反馈,正确判断与实际行动的冲突,高质量决策需要概率思维和小成本行动而非无限确认,行动力,从观众不愿承认的矛盾切入后重命名为可训练问题,为什么越喜欢把事情想明白的人越容易错过真正让自己变好的机会,认知成长与行动力,中,待创作,对应XWT-02；避免高低智商标签
XWLT-003,2026-07-14,小五狼,本地SRT（作品链接未提供）,三种改变大脑的方式,概念到行为的成长教学,想提升能力但只收藏知识的人,把能力变化误解成一次听懂而不是长期行为塑造,知识理解与行为训练的冲突,抽象概念必须落到可观察的习惯和环境调整,自我提升,概念命名后用生活场景和一个小动作翻译,你以为改变认知靠多懂几个道理其实大脑只记得你每天重复了什么,认知成长与长期主义,高,待创作,对应XWT-03；脑科学结论需独立核验
XWLT-004,2026-07-14,小五狼,本地SRT（作品链接未提供）,风水就是环境心理学,传统概念的现代翻译,对环境选择没有意识的成长型人群,把环境影响看成玄学或命运,宿命解释与环境设计的冲突,把熟悉概念翻译成能被观察和调整的环境变量,认知成长,去神秘化后用多个生活场景验证概念,真正影响你状态的不是运气而是那些你每天都在适应却从未设计过的环境,认知成长与长期主义,中,待创作,对应XWT-04；不用风水和荣格引文做事实背书
XWLT-005,2026-07-14,小五狼,本地SRT（作品链接未提供）,学会独处,依赖感与关系边界,害怕独处且在关系中过度消耗的人,把陪伴数量当作关系质量,亲密需求与自我空间的冲突,稳定关系需要独处能力和清晰边界而非不断黏连,关系与自我成长,先解释怯场或依赖再给平等边界动作,你不是离不开一个人你只是从来没有练过一个人也能把生活过完整,普通人成长与关系,中,待创作,对应XWT-05；勿用绝对关系判断
XWLT-006,2026-07-14,小五狼,本地SRT（作品链接未提供）,如何通过八步重启人生,反复失约后的自我信任,总给自己立目标又总失约的人,把一次失败升级为人格否定,羞耻与小承诺的冲突,重建自我信任从一个当天能兑现的小目标开始,自我改变,把反复失约转成明确的可兑现承诺,你不是缺少更大的计划你只是欠自己一次今天就能兑现的承诺,认知成长与行动力,高,待创作,对应XWT-06；不套用自我背叛表述
HOT-20260720-001,2026-07-21,每日热点雷达,https://www.news.cn/tech/20260717/a6995496d2594197b1b4cdaf07dd6fd0/c.html,教育部增补27个职业教育专业,新专业风口与路径判断,毕业生转行者和普通家庭学生,怕错过新产业机会但不知道专业值不值得选,追新名词与建立真实能力的冲突,新专业不是风口保证书普通人要先看岗位规则成本和退出路径,职业选择与长期主义,把职业教育新专业迁移到反盲从路径和失败成本判断,别一看到新专业就冲普通人真正要算的是这条路能不能走三年,认知成长与人生选择,高,待创作,重点标记；2026-07-20热点雷达Top1；相邻扩展；匹配IFST-002和测试04；站内热度未核验；需核验具体专业与岗位规则
HOT-20260720-002,2026-07-21,每日热点雷达,https://www.news.cn/government/20260717/a58aaf49edaa455f9c3dc1395c4b64d2/c.html,暑期高薪跑腿兼职风险提醒,高收益兼职与机会筛选,大学生刚毕业者和副业焦虑人群,缺钱时容易把轻松高薪误判成机会,马上有钱与长期安全的冲突,赚钱意识首先是风险识别能力越缺钱越要审查机会成本,赚钱意识与风险认知,把防骗热点迁移到普通人的赚钱判断系统,越缺钱的时候越不要把轻松高薪当成机会,赚钱认知与自我保护,高,待创作,重点标记；2026-07-20热点雷达Top2；相邻扩展；匹配IFST-004和OMET-004；站内热度未核验；避免展开违法操作细节不构成法律建议
HOT-20260720-003,2026-07-21,每日热点雷达,https://www.news.cn/tech/20260720/653dbb72adff4930807c78b1fab22fad/c.html,WAIC智能体与人机协同,AI智能体时代的普通人能力,想用AI提升能力的人,工具越学越乱却没有形成任务系统,追新工具与建立任务系统的冲突,AI越会执行任务普通人越要练定义问题拆任务和验结果,认知成长与知识体系,把WAIC技术热点迁移到个人认知系统和输出交付能力,AI越来越会执行任务普通人最该练的反而是定义问题,认知成长与AI辅助能力,高,待创作,重点标记；2026-07-20热点雷达Top3；已有母题承接；匹配IFST-005和IFST-001；站内热度未核验；AI只作认知能力背景避免工具教学化
HOT-20260720-005,2026-07-21,每日热点雷达,https://www.news.cn/local/20260719/24ff3d4721c04d758af66641d4680b49/c.html,三伏天情绪与作息管理,坏状态与人格自责,暑期状态失控下班后沉迷手机和容易烦躁的人,状态差以后把环境作息问题归因成自己废了,意志力羞耻与环境变量的冲突,先调整可观察的环境和作息条件再评价自己,自我改变与状态管理,把季节性情绪热点迁移到环境比意志力重要,你不是突然废了可能只是把坏状态当成了人格问题,认知成长与行动力,高,待创作,重点标记；2026-07-20热点雷达Top5；相邻扩展；匹配OMET-001和OMET-002；站内热度未核验；涉及健康心理仅作状态管理不做诊断建议
HOT-20260721-001,2026-07-21,每日热点雷达,https://www.jseea.cn/webfile/index/index_zkxx/,临床医学录取分数线下降讨论,专业神话降温与选择重算,毕业生家长和普通家庭学生,怕错过稳定专业但又担心投入周期和失败成本,社会默认好选择与个人可承受成本的冲突,所谓好选择必须经得起培养周期家庭托底失败成本和迁移能力审计,职业选择与长期主义,把临床医学志愿降温迁移到普通人的失败成本审计,为什么现在连学医都开始被重新计算了,认知成长与人生选择,高,待创作,重点标记；2026-07-21热点雷达Top1；已有母题承接；匹配IFST-002和测试04毕业选择与试错权；站内热度未核验；教育选择不替观众做决策；归档：热点候选卡归档/2026-07-21_每日热点雷达候选卡.md
HOT-20260721-002,2026-07-21,每日热点雷达,https://www.zhihu.com/question/4714962638,为什么我开始不害怕领导了,职场权力祛魅,20到35岁上班族,被领导评价和职位权威牵动情绪,尊重规则与交出人格评价权的冲突,成熟不是对抗领导而是不再把自我价值交给一个职位判断,职场认知与自我边界,把职场热议迁移到评价权和选择权的心理边界,你开始不害怕领导可能不是变冷漠了而是终于祛魅了,认知成长与职场边界,高,待创作,重点标记；2026-07-21热点雷达Top2；已有母题承接；匹配XWLT-001和XWLS-003；站内热度未核验；避免写成职场对抗或煽动辞职；归档：热点候选卡归档/2026-07-21_每日热点雷达候选卡.md
HOT-20260721-003,2026-07-21,每日热点雷达,https://www.worldaic.com.cn/,WAIC 2026 AI从炫技走向落地,AI落地与个人交付能力,AI焦虑的职场人和内容创作者,工具越学越多但真实任务没有产出,追新工具与形成交付系统的冲突,AI越能执行任务普通人越要练定义问题拆任务验结果和沉淀交付,认知成长与知识体系,把WAIC产业热点迁移到普通人的任务系统和输出能力,AI开始干活以后普通人最该补的不是工具清单,认知成长与AI辅助能力,高,待创作,重点标记；2026-07-21热点雷达Top3；相邻扩展；匹配IFST-005和OMES-003；站内热度未核验；AI只作能力背景不写成工具教程或替代恐吓；归档：热点候选卡归档/2026-07-21_每日热点雷达候选卡.md
HOT-20260721-005,2026-07-21,每日热点雷达,https://m.ccdi.gov.cn/content/6b/66/11908.html,学习痛苦与学而时习之讨论,从听懂知识到练成能力,想成长但只收藏不训练的人,学习时痛苦且看不到能力变化,听懂道理与反复练成的冲突,学习的快乐不是输入时舒服而是反复使用后能力开始归自己所有,认知成长与行动力,把经典概念现代翻译迁移到知识训练和能力复利,学习痛苦是因为你一直停在学还没进入习,认知成长与知识体系,高,待创作,重点标记；2026-07-21热点雷达Top5；已有母题承接；匹配IFST-001和XWLT-003；站内热度未核验；经典解释需核验语境避免装作唯一正解；归档：热点候选卡归档/2026-07-21_每日热点雷达候选卡.md
MGHT-001,2026-07-22,芒果猴思维破局,本地SRT（作品链接未提供）,不要回答问题要先判断目的,表面提问与真实目的,在职场中过度坦诚且容易被套话的人,回答太快导致信息利益或评价泄露,坦诚表达与信息边界的冲突,成熟沟通先判断提问目的再决定该给多少信息,职场沟通与社交边界,迁移目的翻译和微场景防守而不迁移原台词,真正会说话的人不是回答得快而是先看懂对方为什么问,认知成长与职场边界,高,待创作,对应mgh.boundary-risk-defense.v1；调用MGH-T01与MGH-H01；示范回应需合乎伦理
MGHT-002,2026-07-22,芒果猴思维破局,本地SRT（作品链接未提供）,戒掉精神低配感,自卑的现实成本与身体表现,进入高要求场景就退缩的普通人,还没被拒绝就先降低报价缩小声音或让出位置,内心不配与现实机会成本的冲突,配得感可以先通过角色换位和低风险身体练习获得新证据,自我成长与职场机会,迁移损失账单场景扫描和身体证据链,你不是能力不够你只是每次进场前都先把自己调成了低配模式,认知成长与自我改变,高,待创作,对应mgh.identity-cost-rebuild.v1；调用MGH-T02；数字和心理概念需核验
MGHT-003,2026-07-22,芒果猴思维破局,本地SRT（作品链接未提供）,从低谷里找到翻盘种子,能量枯竭时的微小行动,沉迷手机且对赚钱和创作失去动力的人,知道现实危险却无法执行宏大计划,想立刻翻盘与当前能量不足的冲突,先做一件有内在收益且风险低的小事重建掌控感,行动力与普通人改变,迁移个人同起点障碍重命名和双条件筛选器,你现在最需要的可能不是翻盘计划而是一件今天做完就能拿到反馈的小事,认知成长与行动力,高,待创作,对应mgh.lowpoint-micro-experiment.v1；调用MGH-T03；不承诺粉丝收入或必然变现
MGHT-004,2026-07-22,芒果猴思维破局,本地SRT（作品链接未提供）,主动行动终止假设折磨,未完成念头与确定性,长期计划和纠结却迟迟不交付的人,反复预演失败比一次真实反馈更耗能,等待安全感与行动购买确定性的冲突,一次低成本真实动作能结束一部分假设并带回可用反馈,行动力与长期主义,迁移悖论公式系统解释和实验式行动,你不是想得不够清楚而是欠自己一次能让假设结束的真实反馈,认知成长与行动力,高,待创作,对应mgh.paradox-mechanism-action.v1；调用MGH-T04与MGH-H03；数字公式只作修辞时需标明
HOT-20260723-002,2026-07-23,每日热点雷达,https://www.xinhuanet.com/20260723/7965bf81c7424631a4860f6a004c3dc9/c.html,警惕涉汛涉灾谣言三大套路,突发信息判断与情绪防御,容易被突发新闻带动转发的普通人,越焦虑越想立刻相信或转发消息,善意关心与信息核验责任的冲突,越焦虑的消息越要先慢一秒做来源和画面核验,信息判断与认知防御,把涉灾谣言热点迁移到普通人的信息防御能力,越焦虑的消息越要慢一秒再相信,认知成长与信息判断,高,待创作,重点标记；2026-07-23热点雷达Top2；相邻扩展；匹配MGHS-001和IFST-005；公开抖音热榜和第三方热榜可见但热点宝与指数曲线未核验；避免消费灾情细节和个案猎奇；归档：热点候选卡归档/2026-07-23_每日热点雷达候选卡.md
HOT-20260723-003,2026-07-23,每日热点雷达,https://m.thepaper.cn/newsDetail_forward_33635497,于东来：胖东来禁止员工相互借钱行为,金钱边界与关系风险,职场人和关系中怕拒绝借钱的人,不好意思拒绝借钱导致关系和金钱边界混乱,情面维护与长期关系安全的冲突,真正成熟的金钱边界不是冷漠而是提前减少关系里的隐形风险,赚钱意识与关系边界,把胖东来规则争议迁移到普通人的金钱边界审计,成年人最难的边界往往不是拒绝人而是拒绝借钱,认知成长与金钱边界,高,待创作,重点标记；2026-07-23热点雷达Top3；相邻扩展；匹配IFST-004 OMET-004 MGHT-001 MGHS-001；第三方抖音热榜聚合可见但热点宝与指数曲线未核验；避免站队企业管理争议不构成法律或财务建议；归档：热点候选卡归档/2026-07-23_每日热点雷达候选卡.md
